battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT005113,CATL,NMC,63.52,552.0,14.49,1.699,0.5,45.56,3.0,0.189,1.28,88.76
BAT005941,,LFP,72.85,,16.29,0.5,0.589,71.69,14.2,0.345,1.04,
BAT007982,Panasonic,LFP,,365.0,19.14,0.5,0.753,,4.1,0.09,1.35,96.59
BAT011392,Tesla,LFP,64.92,435.0,16.85,0.535,0.872,51.6,9.1,0.013,0.6,95.17
BAT010145,CATL,NMC,67.18,510.0,28.5,0.955,1.145,71.98,24.0,,2.3,89.19
BAT002881,Panasonic,NMC,88.79,797.0,36.02,0.979,0.75,66.58,0.2,0.22,0.95,88.43
BAT005840,CATL,LFP,70.8,943.0,45.52,1.167,0.859,41.19,4.3,0.422,0.1,83.12
BAT003382,LG Chem,NMC,55.06,512.0,16.71,1.217,0.5,59.07,15.6,0.192,0.87,94.01
BAT012551,LG Chem,LFP,70.83,348.0,21.02,0.843,0.975,32.28,13.8,0.119,3.82,94.17
BAT001303,Tesla,NMC,101.56,1030.0,48.53,1.402,,59.38,0.1,0.205,2.78,80.18
BAT014213,Panasonic,NCA,91.49,322.0,30.64,1.423,0.5,59.06,1.6,0.011,,94.19
BAT007443,Tesla,NMC,91.79,707.0,22.34,1.796,1.162,37.6,0.4,0.144,0.42,93.48
BAT004958,CATL,NCA,,1004.0,32.92,0.891,0.725,41.71,2.0,0.034,2.15,
BAT004837,Panasonic,,87.09,737.0,25.14,,1.237,51.71,0.3,0.387,2.71,
BAT010649,Samsung SDI,NCA,62.3,785.0,26.46,0.535,1.292,33.42,0.2,0.448,1.05,82.09
BAT008705,Panasonic,NCA,60.32,50.0,24.64,1.571,0.5,44.88,3.4,0.355,0.26,91.84
BAT013476,Tesla,NMC,76.85,430.0,30.13,0.5,1.019,62.53,0.0,0.561,1.35,86.94
BAT005721,Tesla,LFP,65.4,827.0,36.51,1.805,1.531,65.53,0.4,0.407,,80.08
BAT008189,LG Chem,NMC,65.94,377.0,27.86,0.945,1.187,49.03,2.5,0.152,2.26,92.22
BAT009619,BYD,NMC,69.48,413.0,,0.774,0.677,52.44,4.4,0.265,0.86,90.3
BAT000943,,LFP,81.44,910.0,38.11,0.946,1.201,,2.0,0.059,1.52,87.91
BAT012217,LG Chem,LFP,107.96,718.0,,0.674,0.753,58.44,1.4,0.199,1.59,86.06
BAT003236,Panasonic,LFP,77.55,692.0,21.04,1.236,1.284,61.17,5.0,0.016,0.19,92.42
BAT014830,BYD,NMC,91.51,816.0,38.21,,0.62,60.17,0.5,0.18,2.1,82.54
BAT003258,Panasonic,NMC,67.93,515.0,28.31,0.5,1.185,69.32,2.0,0.277,2.02,89.89
BAT011323,Panasonic,NMC,78.05,532.0,34.58,1.252,1.275,,5.3,0.256,1.46,89.9
BAT011078,Panasonic,NMC,102.89,340.0,25.11,0.574,0.751,67.01,5.4,0.044,3.68,89.93
BAT000177,CATL,NMC,56.81,851.0,23.0,1.627,1.341,44.29,1.7,0.016,2.22,87.58
BAT000436,CATL,NMC,85.62,719.0,23.07,0.619,,46.16,22.6,0.114,,88.01
BAT011355,BYD,NCA,67.63,666.0,30.42,0.5,1.213,66.37,9.0,0.146,5.48,78.16
BAT007050,LG Chem,NMC,97.58,702.0,28.86,,1.261,32.68,0.2,0.051,4.88,83.6
BAT000309,BYD,NCA,91.71,526.0,29.71,0.783,0.5,30.07,1.6,0.29,0.76,83.98
BAT001566,LG Chem,NCA,74.07,986.0,24.18,0.818,0.942,85.17,3.5,0.321,3.86,83.02
BAT003965,Tesla,NMC,79.35,874.0,21.09,2.223,,56.65,0.7,,7.77,79.37
BAT006728,Tesla,NCA,89.58,483.0,27.9,0.5,1.067,43.2,0.7,0.012,1.71,91.01
BAT002136,Samsung SDI,NCA,55.65,589.0,29.11,1.137,0.839,63.56,3.5,0.422,1.57,86.93
BAT009061,Samsung SDI,LFP,60.13,994.0,19.59,0.5,0.5,57.69,2.1,0.282,1.15,86.49
BAT013172,LG Chem,NMC,73.91,700.0,28.41,,0.797,73.85,2.9,0.513,2.71,88.42
BAT010869,LG Chem,LFP,86.67,635.0,15.63,1.676,0.76,37.73,5.4,0.115,2.52,91.47
BAT012024,Samsung SDI,NMC,64.43,795.0,21.27,1.465,0.797,50.19,5.8,0.024,,93.76
BAT004978,Panasonic,NMC,,607.0,23.13,1.693,0.858,78.76,4.0,0.483,1.67,85.81
BAT008665,,LFP,81.06,449.0,26.46,1.769,1.271,45.92,,0.144,1.07,91.42
BAT013610,LG Chem,,97.88,521.0,,0.756,0.5,56.67,4.8,0.256,1.19,89.64
BAT000596,LG Chem,NMC,66.07,407.0,25.55,2.252,1.351,42.55,8.3,0.33,1.74,89.59
BAT007394,CATL,NMC,66.81,373.0,27.09,1.046,1.82,76.75,5.4,0.091,7.58,84.2
BAT002277,BYD,NMC,69.22,1037.0,31.59,1.07,1.321,78.15,11.0,0.126,1.44,83.79
BAT007073,CATL,NMC,64.35,834.0,14.75,0.5,0.845,84.27,0.3,0.066,1.76,87.43
BAT006831,Samsung SDI,NMC,77.18,222.0,27.89,2.074,1.254,72.34,2.5,0.118,0.2,96.29
BAT004626,CATL,NMC,71.78,770.0,3.97,0.5,0.525,86.44,2.3,0.286,0.75,87.88
BAT009246,Samsung SDI,NMC,70.32,258.0,12.77,0.891,1.297,57.91,2.4,0.266,1.9,89.91
BAT005333,Tesla,LFP,85.88,275.0,27.31,0.5,0.5,72.04,3.4,0.363,0.93,92.37
BAT011533,Samsung SDI,LFP,59.21,1690.0,31.47,0.779,1.597,53.09,0.3,0.191,3.72,78.07
BAT005352,,NMC,58.19,302.0,,1.1,1.349,46.89,0.1,0.225,0.41,97.09
BAT012464,BYD,LFP,75.27,796.0,24.74,0.94,0.757,72.26,6.3,0.138,3.64,88.37
BAT002624,Samsung SDI,NCA,88.85,722.0,23.5,0.634,1.095,59.34,0.8,0.454,0.96,85.61
BAT009629,Tesla,NCA,88.1,546.0,24.79,1.987,0.556,53.07,2.2,0.108,,91.61
BAT004573,Panasonic,LFP,,678.0,19.91,2.255,1.708,46.56,8.3,0.228,1.75,91.0
BAT011343,LG Chem,NCA,82.59,548.0,26.84,0.551,1.731,,2.6,0.433,1.17,88.1
BAT013732,Panasonic,NMC,89.53,406.0,8.33,0.727,1.163,22.97,3.3,0.262,3.08,89.26
BAT000232,LG Chem,LFP,59.2,480.0,21.22,0.5,0.916,41.28,,0.289,0.23,92.9
BAT000180,Tesla,NMC,80.37,1444.0,26.93,0.598,1.029,20.94,0.8,0.187,7.35,76.32
BAT007883,CATL,NMC,61.8,1014.0,17.03,1.538,1.149,75.98,3.0,,,86.59
BAT000738,BYD,LFP,82.63,896.0,22.01,0.5,0.5,81.05,3.1,0.21,1.09,90.27
BAT014423,CATL,,47.23,838.0,4.62,1.563,0.753,46.42,21.8,0.491,7.38,79.54
BAT010265,BYD,LFP,57.08,60.0,23.36,0.5,0.5,51.76,3.0,0.038,3.36,98.21
BAT010956,BYD,NMC,91.72,136.0,24.23,0.57,1.473,31.84,5.6,0.073,0.53,101.05
BAT003866,Panasonic,,56.41,869.0,23.66,,1.48,56.8,0.1,,1.35,84.16
BAT005866,LG Chem,NMC,90.75,389.0,19.96,1.261,1.04,48.83,8.5,0.257,1.39,90.44
BAT010888,Panasonic,NMC,98.29,697.0,25.73,0.5,1.242,29.73,1.2,0.475,0.1,88.33
BAT006058,LG Chem,LFP,84.89,492.0,30.68,0.736,1.139,57.0,5.7,0.076,1.02,94.01
BAT009200,CATL,NCA,67.51,753.0,33.05,0.5,0.998,63.71,0.2,0.13,0.35,86.17
BAT011144,BYD,NCA,66.68,275.0,10.13,0.5,1.179,,1.9,0.167,1.25,92.92
BAT000110,Tesla,NMC,61.86,,19.87,0.5,0.616,27.68,4.5,0.567,0.99,81.05
BAT005706,Panasonic,NCA,101.02,395.0,36.39,0.87,0.726,75.04,0.3,0.023,1.99,
BAT008482,Panasonic,LFP,63.97,879.0,27.18,0.905,0.828,62.4,1.4,0.248,0.6,89.39
BAT001322,Tesla,NCA,73.11,887.0,15.47,1.329,0.615,56.51,0.2,0.264,0.76,85.94
BAT005936,BYD,NMC,65.46,627.0,9.37,,,34.57,3.6,0.331,6.99,81.46
BAT001996,CATL,NMC,86.35,540.0,19.25,1.404,1.456,48.69,2.4,0.047,3.16,89.44
BAT006496,Tesla,LFP,71.25,812.0,34.14,0.675,0.661,80.22,1.1,0.352,1.37,86.65
BAT000756,BYD,LFP,74.81,692.0,32.09,0.631,0.759,47.22,2.7,0.282,1.39,89.13
BAT008651,Tesla,NCA,81.39,474.0,25.92,1.453,1.269,79.06,6.6,0.377,0.63,88.27
BAT014074,Samsung SDI,NMC,76.48,637.0,18.83,0.659,1.328,66.17,3.5,,1.62,91.09
BAT005138,Tesla,NMC,79.99,,29.94,1.468,0.949,66.52,6.2,,,
BAT012955,LG Chem,LFP,68.32,1009.0,25.49,0.535,1.604,38.03,0.4,0.326,1.38,87.5
BAT000801,CATL,NMC,85.8,658.0,,1.211,1.336,46.11,1.7,0.43,0.39,88.16
BAT011322,CATL,NMC,73.31,1020.0,19.77,0.647,1.075,75.21,8.7,0.434,2.64,
BAT002087,Tesla,LFP,104.28,732.0,19.39,,1.542,62.56,1.9,0.221,,84.96
BAT005502,Tesla,NMC,70.64,852.0,-6.78,1.359,0.891,55.9,6.5,,2.68,86.24
BAT006201,CATL,NMC,80.91,,21.08,0.998,0.843,28.35,1.0,0.282,4.03,86.97
BAT009550,Samsung SDI,NMC,69.93,426.0,33.9,1.579,1.003,40.2,0.9,0.11,,91.88
BAT000070,Samsung SDI,NCA,87.73,1149.0,27.84,1.056,0.732,28.5,0.3,0.135,5.58,76.15
BAT005368,,NMC,67.32,880.0,38.65,0.5,0.993,48.31,2.0,0.11,1.67,83.24
BAT009637,Samsung SDI,,120.0,,25.25,1.295,0.71,70.02,0.7,0.37,2.43,77.0
BAT013042,,LFP,80.64,358.0,17.95,0.506,0.616,81.86,2.6,0.229,4.54,93.1
BAT010275,Samsung SDI,NMC,70.79,,19.48,1.261,0.5,59.13,0.1,0.176,3.08,80.03
BAT005683,Samsung SDI,NMC,100.41,473.0,29.58,0.539,0.85,58.71,10.7,0.206,1.03,90.73
BAT008874,Tesla,NMC,58.48,387.0,24.79,0.5,0.637,18.66,13.0,0.119,1.16,93.48
BAT011189,Panasonic,LFP,56.69,511.0,18.73,0.821,0.839,59.68,7.9,0.235,2.97,92.53
BAT010150,LG Chem,NMC,76.71,561.0,24.27,1.587,0.706,41.68,8.0,0.417,0.52,89.25
BAT005171,LG Chem,NCA,97.67,237.0,24.49,1.042,0.968,46.85,5.0,0.716,1.04,87.19
BAT001681,Panasonic,NCA,57.93,388.0,19.67,1.159,1.352,,0.4,0.529,,84.5
BAT011232,CATL,LFP,61.75,,12.77,0.5,1.097,59.57,2.2,0.649,1.14,90.09
BAT000378,Tesla,,,422.0,10.85,1.496,0.906,53.33,0.6,0.215,1.16,91.46
BAT001470,BYD,NMC,72.63,382.0,32.0,1.554,0.5,55.62,0.6,0.059,0.95,89.86
BAT011075,Panasonic,NCA,83.33,167.0,13.99,2.051,1.131,47.78,4.3,0.635,7.97,77.24
BAT005962,Samsung SDI,NMC,54.95,764.0,-5.94,1.211,0.5,,4.2,0.11,3.81,90.01
BAT002604,Panasonic,NMC,75.0,349.0,23.34,1.105,1.246,58.32,5.1,0.405,0.63,93.35
BAT004182,CATL,NMC,,579.0,28.36,1.589,0.944,52.42,0.4,0.139,0.69,90.08
BAT009273,,NMC,95.45,440.0,22.95,0.677,0.618,69.35,0.4,0.7,0.15,92.88
BAT007869,Panasonic,LFP,70.53,1237.0,9.58,0.741,0.621,56.21,3.9,0.294,0.64,89.77
BAT008828,Panasonic,LFP,91.75,291.0,34.4,1.235,0.708,67.0,5.4,0.161,0.83,91.6
BAT011622,Panasonic,NMC,73.07,560.0,29.07,1.119,0.541,59.63,6.4,0.39,0.98,89.21
BAT014195,Tesla,NMC,69.27,1147.0,32.99,0.517,1.21,71.54,5.4,0.429,0.2,84.82
BAT004506,Panasonic,NMC,61.24,,16.84,0.5,1.467,61.42,3.3,0.019,3.98,73.14
BAT014899,Tesla,LFP,51.74,333.0,23.5,1.328,1.225,89.22,9.0,0.041,0.48,101.54
BAT007049,Panasonic,NCA,77.31,886.0,21.58,0.858,1.279,55.64,4.8,0.29,0.21,87.17
BAT004231,CATL,NMC,67.62,730.0,22.97,0.568,0.752,41.24,1.7,0.118,6.47,85.67
BAT009025,LG Chem,NMC,64.53,1854.0,16.43,0.5,,51.22,1.4,0.204,0.59,77.62
BAT013604,LG Chem,NMC,,,24.17,,0.5,45.06,3.4,0.079,,83.01
BAT003092,Samsung SDI,LFP,,707.0,42.07,1.185,1.015,49.47,5.5,0.224,0.51,85.76
BAT002727,Tesla,NMC,,621.0,26.49,1.042,0.939,64.53,2.8,0.422,0.21,93.85
BAT000478,CATL,NMC,66.34,384.0,,1.332,,80.61,10.7,0.255,0.19,
BAT001330,LG Chem,,58.85,282.0,27.48,1.643,0.703,48.34,0.6,0.091,0.14,95.64
BAT002284,Tesla,,79.96,700.0,20.77,0.611,1.568,,0.2,0.271,0.64,88.69
BAT003733,LG Chem,LFP,77.67,1031.0,25.05,1.434,0.866,50.04,0.3,0.051,3.57,85.51
BAT014472,Samsung SDI,LFP,90.45,437.0,31.81,1.077,1.215,64.85,0.6,,1.23,91.58
BAT009677,Samsung SDI,NMC,76.98,187.0,28.92,0.537,1.466,,2.2,0.209,0.1,97.56
BAT005874,BYD,LFP,81.96,572.0,34.53,2.46,1.773,24.71,1.9,0.073,1.73,89.02
BAT005558,BYD,LFP,,1290.0,25.53,0.5,1.304,,0.8,0.373,1.92,88.62
BAT000752,Samsung SDI,LFP,85.47,281.0,,1.172,1.446,44.74,,0.461,1.19,91.62
BAT014118,Tesla,NMC,66.52,790.0,,1.103,1.335,37.97,1.9,0.22,,91.13
BAT002301,BYD,NMC,90.53,687.0,27.34,1.081,1.523,62.06,5.5,0.217,2.18,84.84
BAT012618,Tesla,NMC,48.67,50.0,22.14,0.5,0.606,58.4,2.3,0.465,2.87,91.14
BAT000874,LG Chem,NMC,80.25,410.0,11.15,2.179,0.863,48.23,0.2,0.199,7.58,82.98
BAT006621,Tesla,NMC,60.26,650.0,21.8,0.825,1.109,31.01,2.8,0.111,0.26,39.04
BAT008848,CATL,LFP,67.48,1266.0,22.25,0.522,1.254,57.69,,0.026,1.38,
BAT005128,Panasonic,NMC,106.39,1255.0,12.33,0.5,0.667,50.45,0.4,0.643,0.27,80.53
BAT009811,Tesla,NMC,,550.0,29.26,0.624,0.825,61.09,2.9,0.267,0.11,89.2
BAT013505,Tesla,NMC,82.28,556.0,39.34,,1.1,55.39,1.5,0.424,6.18,80.4
BAT004565,Panasonic,NMC,65.18,444.0,29.97,0.79,1.401,22.71,1.0,0.397,1.76,89.12
BAT001546,LG Chem,NMC,47.01,736.0,,0.5,1.276,51.29,9.9,0.647,1.1,84.15
BAT000740,Panasonic,NMC,84.84,556.0,36.48,0.519,1.601,82.32,2.6,0.44,3.54,81.92
BAT012840,Panasonic,NMC,80.0,586.0,28.2,0.708,,38.23,3.6,,1.64,84.59
BAT002684,Panasonic,NMC,82.68,342.0,19.61,0.743,1.56,65.31,1.2,0.493,2.48,90.81
BAT013818,LG Chem,,49.2,406.0,40.72,1.649,0.512,90.0,10.5,,,89.0
BAT011025,LG Chem,NMC,76.05,937.0,27.82,0.5,0.939,58.34,4.1,0.175,0.6,
BAT011057,CATL,NMC,97.27,50.0,28.38,2.137,1.212,45.09,0.3,0.504,0.1,93.85
BAT005122,Samsung SDI,NCA,59.96,1093.0,19.44,,0.652,67.38,3.3,0.013,1.35,86.23
BAT006985,BYD,NMC,56.59,594.0,22.48,0.5,0.926,43.77,9.2,0.097,6.05,88.67
BAT006796,Panasonic,NMC,62.56,1000.0,42.23,2.412,1.002,36.35,1.7,0.439,,74.95
BAT009967,BYD,NMC,75.08,844.0,23.58,1.974,0.722,81.52,0.2,0.204,0.56,91.89
BAT007609,Panasonic,LFP,73.33,668.0,22.84,0.5,0.797,42.09,,0.21,0.19,95.22
BAT003519,Tesla,NMC,62.7,819.0,21.89,,2.154,49.96,0.9,0.401,0.89,88.07
BAT010497,LG Chem,,53.43,696.0,33.11,1.528,1.286,21.9,12.0,0.052,,88.75
BAT002355,BYD,NMC,115.28,839.0,23.2,0.5,0.724,37.6,7.6,0.032,1.79,88.67
BAT012657,BYD,NMC,88.04,659.0,21.37,0.996,1.444,54.02,0.9,0.153,5.5,86.07
BAT013346,LG Chem,NMC,45.19,,24.27,0.5,1.153,72.7,4.3,0.356,0.1,91.99
BAT000774,LG Chem,NCA,69.57,1239.0,7.02,1.14,0.752,58.43,2.5,0.647,4.08,72.75
BAT007966,Tesla,NMC,63.7,669.0,45.27,0.547,0.796,73.95,6.5,0.283,1.11,86.21
BAT013226,Panasonic,LFP,75.32,592.0,8.21,0.5,0.721,74.37,1.1,0.58,5.07,
BAT005201,Panasonic,NMC,73.17,355.0,47.17,1.197,1.816,51.08,3.0,0.029,0.2,88.04
BAT011837,CATL,NMC,53.87,1596.0,28.71,0.5,1.504,,6.5,0.162,2.12,82.07
BAT000642,Panasonic,NMC,59.26,953.0,27.22,2.3,,44.95,4.5,0.264,7.94,77.83
BAT010080,Samsung SDI,,57.97,815.0,28.13,0.886,1.38,43.94,9.4,0.395,3.22,86.54
BAT012592,CATL,NMC,45.76,941.0,3.96,1.282,1.107,32.55,2.2,0.167,1.11,87.19
BAT008728,Panasonic,NMC,87.27,486.0,20.92,1.911,1.178,84.51,1.0,0.078,0.79,91.2
BAT003204,BYD,LFP,73.09,928.0,20.37,1.738,0.559,90.0,0.8,0.145,1.23,91.65
BAT007289,Samsung SDI,NCA,96.31,573.0,23.39,0.5,0.849,66.07,0.1,,0.1,87.58
BAT004310,BYD,LFP,62.75,50.0,31.67,0.726,1.391,29.8,4.6,0.425,0.93,
BAT005205,Samsung SDI,NCA,83.31,955.0,27.51,0.5,1.028,67.13,7.6,0.132,,85.05
BAT006250,Tesla,,60.35,576.0,29.97,0.5,1.269,79.09,6.3,0.288,4.81,82.81
BAT000866,CATL,NMC,77.9,1596.0,30.54,0.596,1.508,64.3,3.2,0.173,5.16,73.05
BAT005517,BYD,NMC,60.52,859.0,21.46,2.157,0.755,77.43,3.5,0.019,0.18,91.42
BAT009618,Samsung SDI,NMC,58.58,422.0,28.44,1.034,1.049,56.48,2.3,0.124,4.39,90.14
BAT014352,LG Chem,LFP,68.01,665.0,40.96,0.5,1.323,90.0,9.0,0.533,0.38,83.86
BAT014114,CATL,NMC,40.0,605.0,20.14,0.843,0.712,50.17,2.7,0.302,0.25,89.61
BAT006924,CATL,NMC,70.68,604.0,30.07,1.22,0.715,46.27,3.9,0.055,0.26,92.88
BAT014832,LG Chem,NCA,63.1,557.0,27.28,0.706,0.549,71.57,7.8,0.168,2.43,86.39
BAT010365,Tesla,LFP,81.57,,30.9,1.551,1.244,53.96,0.2,0.348,0.1,93.72
BAT009416,Tesla,NMC,99.12,85.0,32.36,2.711,0.5,41.65,3.8,0.375,0.66,91.75
BAT011177,CATL,LFP,73.01,534.0,22.46,1.049,,73.5,2.8,0.047,2.46,93.15
BAT000963,Panasonic,LFP,62.76,789.0,3.69,0.5,1.486,60.74,4.2,0.298,0.45,88.54
BAT014794,CATL,NMC,81.62,428.0,24.8,1.757,1.095,62.07,4.2,0.222,1.25,90.79
BAT011100,Samsung SDI,NMC,91.88,301.0,14.88,0.5,1.234,82.98,1.8,0.194,4.48,91.06
BAT011416,Panasonic,NMC,,149.0,31.19,1.815,0.911,45.63,0.9,0.649,0.61,91.03
BAT014364,BYD,NCA,62.43,781.0,19.07,0.5,0.686,51.69,5.4,0.054,1.64,89.92
BAT010478,Tesla,NCA,58.98,1896.0,13.02,1.38,0.5,54.17,2.3,,4.48,68.84
BAT013140,Tesla,NMC,61.72,1171.0,28.28,0.5,0.651,36.61,14.1,0.198,0.12,85.69
BAT003310,LG Chem,NMC,55.97,,28.79,1.596,0.56,59.23,7.0,0.423,0.54,78.19
BAT002167,CATL,LFP,52.4,908.0,29.39,0.966,1.444,71.94,9.2,,4.31,
BAT000364,CATL,NMC,82.3,722.0,24.55,1.352,0.5,38.1,7.9,0.046,0.92,91.52
BAT011449,Tesla,NMC,91.47,749.0,13.62,0.5,1.082,22.5,2.8,0.148,1.98,91.21
BAT003724,Tesla,LFP,62.23,567.0,27.63,0.5,1.333,55.76,3.0,0.281,0.76,92.63
BAT002826,BYD,LFP,117.11,453.0,31.04,0.719,0.848,52.8,0.7,0.308,4.17,122.53
BAT005134,Tesla,NMC,58.16,251.0,27.76,1.546,1.307,48.08,4.3,0.437,0.93,89.5
BAT007671,BYD,NCA,88.15,612.0,27.96,0.74,1.368,54.56,4.2,0.215,1.05,87.81
BAT003598,CATL,NMC,62.14,1446.0,27.42,0.875,0.791,,3.2,0.553,0.4,77.3
BAT004727,Samsung SDI,NMC,,414.0,18.75,0.5,0.859,66.5,3.9,0.62,2.71,86.75
BAT000547,Tesla,LFP,62.02,794.0,21.82,0.5,0.912,49.02,,0.053,1.6,91.82
BAT002941,Panasonic,LFP,80.55,603.0,32.24,1.061,1.247,43.42,15.0,0.482,2.84,86.08
BAT000472,Samsung SDI,LFP,73.15,1427.0,23.55,1.386,1.334,28.94,2.0,0.195,4.22,82.48
BAT001642,BYD,NMC,63.77,846.0,29.04,1.143,0.953,59.61,1.3,0.044,,87.21
BAT012936,BYD,LFP,,709.0,16.59,1.137,1.361,52.67,6.5,0.2,,87.17
BAT003339,CATL,NMC,91.3,,20.7,0.798,0.988,51.69,0.9,0.238,1.29,85.8
BAT008217,CATL,LFP,54.67,572.0,20.35,0.662,1.725,47.37,,0.077,7.6,85.64
BAT001173,CATL,NCA,82.62,554.0,34.22,1.565,,66.84,12.7,0.367,0.84,82.62
BAT006984,BYD,LFP,72.9,806.0,31.98,0.786,0.5,49.76,2.5,0.201,1.78,87.65
BAT009402,Panasonic,NMC,52.23,569.0,21.45,1.414,1.593,33.93,4.9,0.156,0.1,93.23
BAT005274,BYD,NCA,59.99,1867.0,21.14,1.245,0.959,48.36,8.0,0.46,1.57,70.71
BAT006673,Panasonic,LFP,115.42,471.0,20.44,,1.005,10.0,1.4,0.018,1.75,94.13
BAT006086,,NMC,72.8,164.0,19.37,0.5,0.615,62.99,4.4,0.596,1.32,96.03
BAT010599,Tesla,NMC,44.9,558.0,31.32,0.954,1.589,40.7,0.3,0.462,0.28,84.37
BAT008015,CATL,NMC,76.85,619.0,19.41,1.051,0.596,,2.3,0.365,,87.32
BAT012885,Tesla,NMC,83.02,784.0,23.07,1.137,1.068,,0.5,0.352,0.36,88.54
BAT014481,Tesla,NMC,78.63,447.0,18.83,0.5,1.079,28.1,4.3,0.588,2.82,84.96
BAT003365,Samsung SDI,NMC,52.88,200.0,25.44,1.334,1.1,50.16,24.0,,3.05,
BAT014728,,,80.06,633.0,28.2,1.148,1.023,44.15,1.1,0.113,1.17,88.35
BAT008310,LG Chem,LFP,107.8,646.0,29.06,1.618,1.154,68.54,3.0,0.047,1.99,93.23
BAT006725,CATL,NMC,81.06,404.0,25.98,1.728,0.5,69.65,6.3,0.111,0.33,93.0
BAT012828,Tesla,NMC,115.4,680.0,23.81,0.5,1.091,41.49,,0.116,,88.97
BAT001411,,NMC,67.57,1866.0,7.68,0.887,,63.49,0.5,0.066,1.73,81.91
BAT009441,Tesla,NMC,72.7,933.0,16.34,1.13,1.626,38.88,1.9,0.337,2.88,84.61
BAT010037,Samsung SDI,NMC,40.0,519.0,31.14,0.887,0.862,63.39,4.2,0.084,0.29,94.57
BAT006667,Panasonic,NCA,75.84,352.0,20.37,0.5,1.453,73.53,1.4,0.015,1.07,95.41
BAT008277,LG Chem,NMC,62.88,606.0,32.9,0.857,0.5,50.09,4.4,0.351,1.09,89.12
BAT012360,LG Chem,LFP,71.87,667.0,35.55,,0.773,62.87,1.7,0.445,0.21,90.14
BAT002695,Samsung SDI,NMC,70.56,659.0,25.72,1.134,,38.51,0.7,0.195,3.62,88.1
BAT000816,LG Chem,,86.18,1707.0,27.02,0.953,0.874,41.26,6.8,0.207,0.56,83.92
BAT006501,Panasonic,NMC,74.91,705.0,5.32,1.136,1.575,66.62,7.2,0.196,0.1,88.56
BAT006763,Tesla,,65.98,364.0,31.44,0.886,1.077,82.08,0.8,0.439,,86.61
BAT010764,Panasonic,NMC,61.89,943.0,31.61,1.421,0.5,72.17,4.3,0.379,0.79,87.45
BAT007323,,,99.01,,21.31,1.31,1.434,36.5,2.0,0.106,0.38,80.04
BAT002132,Tesla,NMC,99.18,1512.0,24.34,1.688,0.779,36.82,13.7,0.194,0.84,79.08
BAT001798,Tesla,NMC,74.22,,29.52,0.5,0.906,46.14,3.3,0.205,12.0,77.34
BAT010626,,NMC,71.54,81.0,14.58,1.537,1.671,64.48,1.4,0.645,1.52,90.13
BAT007728,LG Chem,NMC,46.69,515.0,41.69,0.5,0.976,62.62,1.6,0.636,0.6,83.01
BAT004576,Panasonic,NMC,86.48,,32.67,1.698,1.05,39.89,7.6,0.262,0.64,88.0
BAT005191,Panasonic,NMC,83.7,324.0,20.18,1.489,0.942,43.76,,0.363,0.1,88.99
BAT003123,Tesla,LFP,91.6,1073.0,27.26,1.145,0.699,46.92,1.5,0.48,4.07,77.8
BAT007541,Tesla,NCA,102.34,352.0,48.38,0.848,1.13,73.28,2.1,0.307,1.31,86.23
BAT005854,BYD,NCA,78.35,586.0,24.85,0.5,1.216,66.85,0.5,0.209,1.25,86.87
BAT005366,Samsung SDI,LFP,40.0,450.0,22.51,0.574,0.838,36.66,2.0,0.372,0.1,
BAT009044,Panasonic,NMC,53.27,408.0,23.01,,1.443,15.7,4.2,0.394,0.1,92.28
BAT004276,CATL,NMC,86.11,317.0,-7.13,2.141,,45.77,5.3,0.515,1.16,89.74
BAT013892,BYD,LFP,,566.0,30.62,0.5,1.387,43.72,0.8,0.378,0.76,87.96
BAT003090,Panasonic,NMC,77.68,381.0,18.42,1.09,1.491,53.43,13.1,0.152,3.91,92.4
BAT013094,Tesla,NMC,93.56,363.0,31.44,,1.075,,2.8,,6.97,80.96
BAT012711,Tesla,LFP,113.04,,36.95,1.224,0.893,52.0,2.8,0.328,0.53,90.14
BAT014976,CATL,NMC,88.14,1510.0,20.02,1.589,1.232,67.78,0.2,0.589,12.0,
BAT009610,BYD,NCA,97.69,402.0,22.69,1.795,0.583,67.63,6.1,0.22,1.57,90.62
BAT005254,Tesla,NMC,75.02,152.0,27.11,0.5,0.803,49.63,10.0,0.32,0.1,93.25
BAT000238,Tesla,LFP,82.41,,36.87,0.953,1.087,,2.5,0.31,1.66,87.76
BAT001533,BYD,NMC,84.77,660.0,31.9,1.664,1.291,50.54,11.8,0.058,0.66,87.32
BAT014138,Tesla,NMC,89.03,1552.0,,0.5,1.205,54.89,4.5,0.078,0.33,81.99
BAT008403,CATL,NMC,77.11,50.0,37.79,1.22,1.707,73.24,5.5,0.205,0.59,96.24
BAT003411,LG Chem,NMC,87.73,482.0,21.18,2.02,0.643,51.91,10.9,0.32,1.97,91.18
BAT002832,CATL,NMC,97.07,476.0,25.06,1.357,1.009,65.45,5.4,0.045,1.52,92.92
BAT013673,Tesla,LFP,63.61,1164.0,23.0,0.84,1.716,50.22,0.5,0.123,0.83,89.67
BAT007780,LG Chem,LFP,105.86,930.0,16.8,1.627,0.998,58.7,2.1,0.823,2.44,85.27
